Day,Month,Year,S&P500,Open,High,Low,Change %
2,1,2004,1618.05,"1,618.05","1,618.05","1,618.05",-0.30%
5,1,2004,1638.1,"1,638.10","1,638.10","1,638.10",1.24%
6,1,2004,1640.31,"1,640.31","1,640.31","1,640.31",0.13%
7,1,2004,1644.6,"1,644.60","1,644.60","1,644.60",0.26%
8,1,2004,1652.83,"1,652.83","1,652.83","1,652.83",0.50%
9,1,2004,1638.14,"1,638.14","1,638.14","1,638.14",-0.89%
12,1,2004,1646.03,"1,646.03","1,646.03","1,646.03",0.48%
13,1,2004,1637.33,"1,637.33","1,637.33","1,637.33",-0.53%
14,1,2004,1650.96,"1,650.96","1,650.96","1,650.96",0.83%
15,1,2004,1653.21,"1,653.21","1,653.21","1,653.21",0.14%
16,1,2004,1664.57,"1,664.57","1,664.57","1,664.57",0.69%
20,1,2004,1663.03,"1,663.03","1,663.03","1,663.03",-0.09%
21,1,2004,1676.07,"1,676.07","1,676.07","1,676.07",0.78%
22,1,2004,1670.73,"1,670.73","1,670.73","1,670.73",-0.32%
23,1,2004,1667.26,"1,667.26","1,667.26","1,667.26",-0.21%
26,1,2004,1687.44,"1,687.44","1,687.44","1,687.44",1.21%
27,1,2004,1670.91,"1,670.91","1,670.91","1,670.91",-0.98%
28,1,2004,1648.44,"1,648.44","1,648.44","1,648.44",-1.34%
29,1,2004,1657.09,"1,657.09","1,657.09","1,657.09",0.53%
30,1,2004,1652.73,"1,652.73","1,652.73","1,652.73",-0.26%
2,2,2004,1658.79,"1,658.79","1,658.79","1,658.79",0.37%
3,2,2004,1659.92,"1,659.92","1,659.92","1,659.92",0.07%
4,2,2004,1646.29,"1,646.29","1,646.29","1,646.29",-0.82%
5,2,2004,1649.35,"1,649.35","1,649.35","1,649.35",0.19%
6,2,2004,1670.14,"1,670.14","1,670.14","1,670.14",1.26%
9,2,2004,1666.16,"1,666.16","1,666.16","1,666.16",-0.24%
10,2,2004,1674.55,"1,674.55","1,674.55","1,674.55",0.50%
11,2,2004,1693.03,"1,693.03","1,693.03","1,693.03",1.10%
12,2,2004,1684.92,"1,684.92","1,684.92","1,684.92",-0.48%
13,2,2004,1675.86,"1,675.86","1,675.86","1,675.86",-0.54%
17,2,2004,1692.22,"1,692.22","1,692.22","1,692.22",0.98%
18,2,2004,1684.89,"1,684.89","1,684.89","1,684.89",-0.43%
19,2,2004,1678.01,"1,678.01","1,678.01","1,678.01",-0.41%
20,2,2004,1673.71,"1,673.71","1,673.71","1,673.71",-0.26%
23,2,2004,1669.2,"1,669.20","1,669.20","1,669.20",-0.27%
24,2,2004,1666.42,"1,666.42","1,666.42","1,666.42",-0.17%
25,2,2004,1673.34,"1,673.34","1,673.34","1,673.34",0.41%
26,2,2004,1675.63,"1,675.63","1,675.63","1,675.63",0.14%
27,2,2004,1675.7,"1,675.70","1,675.70","1,675.70",0.00%
1,3,2004,1691.9,"1,691.90","1,691.90","1,691.90",0.97%
2,3,2004,1681.88,"1,681.88","1,681.88","1,681.88",-0.59%
3,3,2004,1685.17,"1,685.17","1,685.17","1,685.17",0.20%
4,3,2004,1690.83,"1,690.83","1,690.83","1,690.83",0.34%
5,3,2004,1693.76,"1,693.76","1,693.76","1,693.76",0.17%
8,3,2004,1679.74,"1,679.74","1,679.74","1,679.74",-0.83%
9,3,2004,1670.07,"1,670.07","1,670.07","1,670.07",-0.58%
10,3,2004,1645.79,"1,645.79","1,645.79","1,645.79",-1.45%
11,3,2004,1621.21,"1,621.21","1,621.21","1,621.21",-1.49%
12,3,2004,1641.42,"1,641.42","1,641.42","1,641.42",1.25%
15,3,2004,1617.91,"1,617.91","1,617.91","1,617.91",-1.43%
16,3,2004,1627.03,"1,627.03","1,627.03","1,627.03",0.56%
17,3,2004,1646.29,"1,646.29","1,646.29","1,646.29",1.18%
18,3,2004,1644.21,"1,644.21","1,644.21","1,644.21",-0.13%
19,3,2004,1625.84,"1,625.84","1,625.84","1,625.84",-1.12%
22,3,2004,1604.8,"1,604.80","1,604.80","1,604.80",-1.29%
23,3,2004,1602.67,"1,602.67","1,602.67","1,602.67",-0.13%
24,3,2004,1598.85,"1,598.85","1,598.85","1,598.85",-0.24%
25,3,2004,1625.01,"1,625.01","1,625.01","1,625.01",1.64%
26,3,2004,1623.36,"1,623.36","1,623.36","1,623.36",-0.10%
29,3,2004,1644.75,"1,644.75","1,644.75","1,644.75",1.32%
30,3,2004,1651.43,"1,651.43","1,651.43","1,651.43",0.41%
31,3,2004,1650.42,"1,650.42","1,650.42","1,650.42",-0.06%
1,4,2004,1659.16,"1,659.16","1,659.16","1,659.16",0.53%
2,4,2004,1673.4,"1,673.40","1,673.40","1,673.40",0.86%
5,4,2004,1686.24,"1,686.24","1,686.24","1,686.24",0.77%
6,4,2004,1683.23,"1,683.23","1,683.23","1,683.23",-0.18%
7,4,2004,1672.14,"1,672.14","1,672.14","1,672.14",-0.66%
8,4,2004,1670.36,"1,670.36","1,670.36","1,670.36",-0.11%
12,4,2004,1679.02,"1,679.02","1,679.02","1,679.02",0.52%
13,4,2004,1655.99,"1,655.99","1,655.99","1,655.99",-1.37%
14,4,2004,1654.17,"1,654.17","1,654.17","1,654.17",-0.11%
15,4,2004,1655.15,"1,655.15","1,655.15","1,655.15",0.06%
16,4,2004,1663.62,"1,663.62","1,663.62","1,663.62",0.51%
19,4,2004,1665.39,"1,665.39","1,665.39","1,665.39",0.11%
20,4,2004,1639.49,"1,639.49","1,639.49","1,639.49",-1.56%
21,4,2004,1648.31,"1,648.31","1,648.31","1,648.31",0.54%
22,4,2004,1671.63,"1,671.63","1,671.63","1,671.63",1.41%
23,4,2004,1672.62,"1,672.62","1,672.62","1,672.62",0.06%
26,4,2004,1665.19,"1,665.19","1,665.19","1,665.19",-0.44%
27,4,2004,1668.98,"1,668.98","1,668.98","1,668.98",0.23%
28,4,2004,1646.2,"1,646.20","1,646.20","1,646.20",-1.37%
29,4,2004,1634.16,"1,634.16","1,634.16","1,634.16",-0.73%
30,4,2004,1624.51,"1,624.51","1,624.51","1,624.51",-0.59%
3,5,2004,1639.46,"1,639.46","1,639.46","1,639.46",0.92%
4,5,2004,1642.5,"1,642.50","1,642.50","1,642.50",0.19%
5,5,2004,1645.65,"1,645.65","1,645.65","1,645.65",0.19%
6,5,2004,1634.75,"1,634.75","1,634.75","1,634.75",-0.66%
7,5,2004,1612.31,"1,612.31","1,612.31","1,612.31",-1.37%
10,5,2004,1595.38,"1,595.38","1,595.38","1,595.38",-1.05%
11,5,2004,1607.94,"1,607.94","1,607.94","1,607.94",0.79%
12,5,2004,1611.15,"1,611.15","1,611.15","1,611.15",0.20%
13,5,2004,1610.05,"1,610.05","1,610.05","1,610.05",-0.07%
14,5,2004,1609.12,"1,609.12","1,609.12","1,609.12",-0.06%
17,5,2004,1592.23,"1,592.23","1,592.23","1,592.23",-1.05%
18,5,2004,1603.14,"1,603.14","1,603.14","1,603.14",0.69%
19,5,2004,1599.29,"1,599.29","1,599.29","1,599.29",-0.24%
20,5,2004,1600.06,"1,600.06","1,600.06","1,600.06",0.05%
21,5,2004,1606.49,"1,606.49","1,606.49","1,606.49",0.40%
24,5,2004,1609.22,"1,609.22","1,609.22","1,609.22",0.17%
25,5,2004,1635.14,"1,635.14","1,635.14","1,635.14",1.61%
26,5,2004,1638.16,"1,638.16","1,638.16","1,638.16",0.18%
27,5,2004,1647.65,"1,647.65","1,647.65","1,647.65",0.58%
28,5,2004,1646.8,"1,646.80","1,646.80","1,646.80",-0.05%
1,6,2004,1647.57,"1,647.57","1,647.57","1,647.57",0.05%
2,6,2004,1653.66,"1,653.66","1,653.66","1,653.66",0.37%
3,6,2004,1641.43,"1,641.43","1,641.43","1,641.43",-0.74%
4,6,2004,1650.07,"1,650.07","1,650.07","1,650.07",0.53%
7,6,2004,1676.48,"1,676.48","1,676.48","1,676.48",1.60%
8,6,2004,1679.21,"1,679.21","1,679.21","1,679.21",0.16%
9,6,2004,1663.38,"1,663.38","1,663.38","1,663.38",-0.94%
10,6,2004,1671.01,"1,671.01","1,671.01","1,671.01",0.46%
14,6,2004,1655,"1,655.00","1,655.00","1,655.00",-0.96%
15,6,2004,1664.92,"1,664.92","1,664.92","1,664.92",0.60%
16,6,2004,1667.23,"1,667.23","1,667.23","1,667.23",0.14%
17,6,2004,1665.02,"1,665.02","1,665.02","1,665.02",-0.13%
18,6,2004,1669.39,"1,669.39","1,669.39","1,669.39",0.26%
21,6,2004,1662.46,"1,662.46","1,662.46","1,662.46",-0.41%
22,6,2004,1668.55,"1,668.55","1,668.55","1,668.55",0.37%
23,6,2004,1682.75,"1,682.75","1,682.75","1,682.75",0.85%
24,6,2004,1678.07,"1,678.07","1,678.07","1,678.07",-0.28%
25,6,2004,1668.93,"1,668.93","1,668.93","1,668.93",-0.54%
28,6,2004,1667.61,"1,667.61","1,667.61","1,667.61",-0.08%
29,6,2004,1671.84,"1,671.84","1,671.84","1,671.84",0.25%
30,6,2004,1678.83,"1,678.83","1,678.83","1,678.83",0.42%
1,7,2004,1661.53,"1,661.53","1,661.53","1,661.53",-1.03%
2,7,2004,1656.33,"1,656.33","1,656.33","1,656.33",-0.31%
6,7,2004,1642.84,"1,642.84","1,642.84","1,642.84",-0.81%
7,7,2004,1646.36,"1,646.36","1,646.36","1,646.36",0.21%
8,7,2004,1632.88,"1,632.88","1,632.88","1,632.88",-0.82%
9,7,2004,1638.42,"1,638.42","1,638.42","1,638.42",0.34%
12,7,2004,1640.73,"1,640.73","1,640.73","1,640.73",0.14%
13,7,2004,1641.96,"1,641.96","1,641.96","1,641.96",0.08%
14,7,2004,1636.62,"1,636.62","1,636.62","1,636.62",-0.33%
15,7,2004,1629.58,"1,629.58","1,629.58","1,629.58",-0.43%
16,7,2004,1621.81,"1,621.81","1,621.81","1,621.81",-0.48%
19,7,2004,1621.08,"1,621.08","1,621.08","1,621.08",-0.04%
20,7,2004,1632.52,"1,632.52","1,632.52","1,632.52",0.71%
21,7,2004,1610.88,"1,610.88","1,610.88","1,610.88",-1.33%
22,7,2004,1615.27,"1,615.27","1,615.27","1,615.27",0.27%
23,7,2004,1599.62,"1,599.62","1,599.62","1,599.62",-0.97%
26,7,2004,1596.48,"1,596.48","1,596.48","1,596.48",-0.20%
27,7,2004,1612.33,"1,612.33","1,612.33","1,612.33",0.99%
28,7,2004,1613.5,"1,613.50","1,613.50","1,613.50",0.07%
29,7,2004,1621.35,"1,621.35","1,621.35","1,621.35",0.49%
30,7,2004,1623.26,"1,623.26","1,623.26","1,623.26",0.12%
2,8,2004,1630.48,"1,630.48","1,630.48","1,630.48",0.44%
3,8,2004,1620.28,"1,620.28","1,620.28","1,620.28",-0.63%
4,8,2004,1619,"1,619.00","1,619.00","1,619.00",-0.08%
5,8,2004,1592.64,"1,592.64","1,592.64","1,592.64",-1.63%
6,8,2004,1568.07,"1,568.07","1,568.07","1,568.07",-1.54%
9,8,2004,1569.96,"1,569.96","1,569.96","1,569.96",0.12%
10,8,2004,1590.35,"1,590.35","1,590.35","1,590.35",1.30%
11,8,2004,1586.43,"1,586.43","1,586.43","1,586.43",-0.25%
12,8,2004,1567.95,"1,567.95","1,567.95","1,567.95",-1.17%
13,8,2004,1570.44,"1,570.44","1,570.44","1,570.44",0.16%
16,8,2004,1591.94,"1,591.94","1,591.94","1,591.94",1.37%
17,8,2004,1595.57,"1,595.57","1,595.57","1,595.57",0.23%
18,8,2004,1615.72,"1,615.72","1,615.72","1,615.72",1.26%
19,8,2004,1609.97,"1,609.97","1,609.97","1,609.97",-0.36%
20,8,2004,1620.47,"1,620.47","1,620.47","1,620.47",0.65%
23,8,2004,1616.68,"1,616.68","1,616.68","1,616.68",-0.23%
24,8,2004,1617.46,"1,617.46","1,617.46","1,617.46",0.05%
25,8,2004,1630.48,"1,630.48","1,630.48","1,630.48",0.81%
26,8,2004,1630.68,"1,630.68","1,630.68","1,630.68",0.01%
27,8,2004,1634.83,"1,634.83","1,634.83","1,634.83",0.25%
30,8,2004,1622.28,"1,622.28","1,622.28","1,622.28",-0.77%
31,8,2004,1629.83,"1,629.83","1,629.83","1,629.83",0.47%
1,9,2004,1632.82,"1,632.82","1,632.82","1,632.82",0.18%
2,9,2004,1651.14,"1,651.14","1,651.14","1,651.14",1.12%
3,9,2004,1644.25,"1,644.25","1,644.25","1,644.25",-0.42%
7,9,2004,1655.65,"1,655.65","1,655.65","1,655.65",0.69%
8,9,2004,1648.52,"1,648.52","1,648.52","1,648.52",-0.43%
9,9,2004,1651.65,"1,651.65","1,651.65","1,651.65",0.19%
10,9,2004,1659.84,"1,659.84","1,659.84","1,659.84",0.50%
13,9,2004,1663.1,"1,663.10","1,663.10","1,663.10",0.20%
14,9,2004,1666.82,"1,666.82","1,666.82","1,666.82",0.22%
15,9,2004,1655.1,"1,655.10","1,655.10","1,655.10",-0.70%
16,9,2004,1659.78,"1,659.78","1,659.78","1,659.78",0.28%
17,9,2004,1667.25,"1,667.25","1,667.25","1,667.25",0.45%
