Date,Day,Month,Year,Institutional Index Value,Investors Index Value
Sep-22,30,9,2022,71.59,64.62
Aug-22,31,8,2022,71.74,64.12
Jul-22,31,7,2022,76.92,59.48
Jun-22,30,6,2022,75.64,58.56
May-22,31,5,2022,74.29,65.08
Apr-22,30,4,2022,69.7,68.25
Mar-22,31,3,2022,70.77,69.29
Feb-22,28,2,2022,69.86,67.16
Jan-22,31,1,2022,66.2,68.15
Dec-21,31,12,2021,65.15,65.41
Nov-21,30,11,2021,63.29,59.26
Oct-21,31,10,2021,64.2,60.16
Sep-21,30,9,2021,64.58,62.07
Aug-21,31,8,2021,65.69,64.79
Jul-21,31,7,2021,66.67,65.71
Jun-21,30,6,2021,68.87,70
May-21,31,5,2021,69.15,73.38
Apr-21,30,4,2021,67.42,76.19
Mar-21,31,3,2021,65.48,77.68
Feb-21,28,2,2021,62.12,75
Jan-21,31,1,2021,61.9,73.17
Dec-20,31,12,2020,61.54,69.17
Nov-20,30,11,2020,62.86,70.68
Oct-20,31,10,2020,67.61,70.71
Sep-20,30,9,2020,69.86,70.07
Aug-20,31,8,2020,72.86,73.05
Jul-20,31,7,2020,80.95,73.61
Jun-20,30,6,2020,79.59,75.89
May-20,31,5,2020,81.9,74.05
Apr-20,30,4,2020,80.99,75
Mar-20,31,3,2020,81.42,70.94
Feb-20,29,2,2020,79.34,65
Jan-20,31,1,2020,72.17,64.35
Dec-19,31,12,2019,72.22,62.16
Nov-19,30,11,2019,70.09,63.96
Oct-19,31,10,2019,66.33,59.79
Sep-19,30,9,2019,68,63.72
Aug-19,31,8,2019,69.52,70.08
Jul-19,31,7,2019,72,68.22
Jun-19,30,6,2019,75.59,72.62
May-19,31,5,2019,73.44,69.35
Apr-19,30,4,2019,75.61,68.37
Mar-19,31,3,2019,74.63,67.34
Feb-19,28,2,2019,75,65.27
Jan-19,31,1,2019,74.8,68.15
Dec-18,31,12,2018,70.1,64.23
Nov-18,30,11,2018,77,66.96
Oct-18,31,10,2018,79.25,71.03
Sep-18,30,9,2018,75.61,72.73
Aug-18,31,8,2018,72.73,69.18
Jul-18,31,7,2018,72.31,63.43
Jun-18,30,6,2018,72.67,68.09
May-18,31,5,2018,68.42,66.67
Apr-18,30,4,2018,63.23,64.1
Mar-18,31,3,2018,62.81,63.19
Feb-18,28,2,2018,65.52,66
Jan-18,31,1,2018,65.89,71.13
Dec-17,31,12,2017,65.14,61.27
Nov-17,30,11,2017,69.92,60.61
Oct-17,31,10,2017,71.32,64.12
Sep-17,30,9,2017,74.17,63.76
Aug-17,31,8,2017,72.85,59.75
Jul-17,31,7,2017,74.4,60.12
Jun-17,30,6,2017,77.37,62.5
May-17,31,5,2017,76.16,61.31
Apr-17,30,4,2017,79.61,60.69
Mar-17,31,3,2017,76.97,61.54
Feb-17,28,2,2017,75.33,64.43
Jan-17,31,1,2017,74.02,62.79
Dec-16,31,12,2016,68.13,64.71
Nov-16,30,11,2016,70.71,65.49
Oct-16,31,10,2016,70.37,66.67
Sep-16,30,9,2016,69.16,66.45
Aug-16,31,8,2016,74.55,67.3
Jul-16,31,7,2016,76.42,69.4
Jun-16,30,6,2016,75,68.22
May-16,31,5,2016,75.16,71.18
Apr-16,30,4,2016,74.32,69.75
Mar-16,31,3,2016,76.47,69.12
Feb-16,29,2,2016,74.82,67.86
Jan-16,31,1,2016,73.81,67.15
Dec-15,31,12,2015,73.21,70.69
Nov-15,30,11,2015,71.54,72.03
Oct-15,31,10,2015,73.65,74.23
Sep-15,30,9,2015,72.3,76.05
Aug-15,31,8,2015,72.29,75.29
Jul-15,31,7,2015,72,77.47
Jun-15,30,6,2015,72.79,75.44
May-15,31,5,2015,73.42,75.14
Apr-15,30,4,2015,68.84,72.63
Mar-15,31,3,2015,69.85,71.93
Feb-15,28,2,2015,72.48,71.43
Jan-15,31,1,2015,70.18,68.84
Dec-14,31,12,2014,69.12,67.74
Nov-14,30,11,2014,71.43,63.82
Oct-14,31,10,2014,77.87,61.94
Sep-14,30,9,2014,82.17,64.97
Aug-14,31,8,2014,81.87,70.49
Jul-14,31,7,2014,85.99,71.18
Jun-14,30,6,2014,90.32,71.35
May-14,31,5,2014,88.96,74.57
Apr-14,30,4,2014,87.5,75.69
Mar-14,31,3,2014,81.76,74.19
Feb-14,28,2,2014,77.17,68.99
Jan-14,31,1,2014,75.17,68.51
Dec-13,31,12,2013,77.91,73.3
Nov-13,30,11,2013,77.42,74.37
Oct-13,31,10,2013,76.43,72.55
Sep-13,30,9,2013,78.01,72.16
Aug-13,31,8,2013,79.71,75.58
Jul-13,31,7,2013,79.26,76.8
Jun-13,30,6,2013,76.42,71.51
May-13,31,5,2013,77.14,68.67
Apr-13,30,4,2013,75.37,71.79
Mar-13,31,3,2013,74.03,71.02
Feb-13,28,2,2013,74.19,70.95
Jan-13,31,1,2013,77.11,70.59
Dec-12,31,12,2012,75,75.15
Nov-12,30,11,2012,76.22,76.82
Oct-12,31,10,2012,79.44,78.29
Sep-12,30,9,2012,82.26,79.88
Aug-12,31,8,2012,82.38,78.53
Jul-12,31,7,2012,81.82,79.68
Jun-12,30,6,2012,83.26,79.71
May-12,31,5,2012,82.72,78.82
Apr-12,30,4,2012,81.55,78.72
Mar-12,31,3,2012,79.8,78.6
Feb-12,29,2,2012,78.97,77.54
Jan-12,31,1,2012,80.09,75.66
Dec-11,31,12,2011,77.2,73.6
Nov-11,30,11,2011,76.79,75.9
Oct-11,31,10,2011,76.84,75.45
Sep-11,30,9,2011,77.89,73.17
Aug-11,31,8,2011,80.89,74.59
Jul-11,31,7,2011,80.57,78.4
Jun-11,30,6,2011,81.75,79.13
May-11,31,5,2011,81.62,77.27
Apr-11,30,4,2011,82.88,76.11
Mar-11,31,3,2011,81.43,79.08
Feb-11,28,2,2011,80.58,80.95
Jan-11,31,1,2011,78.47,78.52
Dec-10,31,12,2010,77.5,77.46
Nov-10,30,11,2010,76.47,76
Oct-10,31,10,2010,72.86,77.53
Sep-10,30,9,2010,73.68,76.77
Aug-10,31,8,2010,75,76.57
Jul-10,31,7,2010,75.44,76.22
Jun-10,30,6,2010,76.67,77.84
May-10,31,5,2010,76.92,78.79
Apr-10,30,4,2010,77.92,76.63
Mar-10,31,3,2010,77.36,76.59
Feb-10,28,2,2010,77.09,77.58
Jan-10,31,1,2010,75,79.13
Dec-09,31,12,2009,75.14,79.05
Nov-09,30,11,2009,76.6,78.08
Oct-09,31,10,2009,76.36,79.59
Sep-09,30,9,2009,76.14,79.38
Aug-09,31,8,2009,75.32,76.63
Jul-09,31,7,2009,79.52,72.84
Jun-09,30,6,2009,79.52,73.94
May-09,31,5,2009,80.34,75
Apr-09,30,4,2009,80.95,72.16
Mar-09,31,3,2009,81.62,74.17
Feb-09,28,2,2009,81.4,75.24
Jan-09,31,1,2009,81.61,75.45
Dec-08,31,12,2008,81.25,73.18
Nov-08,30,11,2008,80.66,72.98
Oct-08,31,10,2008,81.59,75.82
Sep-08,30,9,2008,80.74,74.24
Aug-08,31,8,2008,80.45,74.49
Jul-08,31,7,2008,79.28,75.18
Jun-08,30,6,2008,80.42,72.12
May-08,31,5,2008,82.03,71.92
Apr-08,30,4,2008,81.29,70.75
Mar-08,31,3,2008,79.74,72.47
Feb-08,29,2,2008,79.55,72.18
Jan-08,31,1,2008,80.37,72.33
Dec-07,31,12,2007,79.87,76.58
Nov-07,30,11,2007,77.58,78.07
Oct-07,31,10,2007,76.95,79.41
Sep-07,30,9,2007,78.22,77.46
Aug-07,31,8,2007,79.41,78.3
Jul-07,31,7,2007,76.92,79.27
Jun-07,30,6,2007,76.99,80
May-07,31,5,2007,78.16,80.15
Apr-07,30,4,2007,81.18,80
Mar-07,31,3,2007,80,85.95
Feb-07,28,2,2007,75.58,86.36
Jan-07,31,1,2007,74.51,85.38
Dec-06,31,12,2006,75,83.89
Nov-06,30,11,2006,75.21,85.29
Oct-06,31,10,2006,73.74,85.22
Sep-06,30,9,2006,74.73,83.5
Aug-06,31,8,2006,81.11,82.35
Jul-06,31,7,2006,87.18,82.52
Jun-06,30,6,2006,88.89,87.5
May-06,31,5,2006,92.59,83.33
Apr-06,30,4,2006,92,83.93
Mar-06,31,3,2006,87.78,84.13
Feb-06,28,2,2006,83.91,83.93
Jan-06,31,1,2006,78.57,82.73
Dec-05,31,12,2005,77.14,81.98
Nov-05,30,11,2005,74.36,82.73
Oct-05,31,10,2005,72.57,80.51
Sep-05,30,9,2005,74.6,80.49
Aug-05,31,8,2005,75,81.82
Jul-05,31,7,2005,75.57,84.25
Jun-05,30,6,2005,76.86,84.25
May-05,31,5,2005,81.82,85.52
Apr-05,30,4,2005,79.49,86.27
Mar-05,31,3,2005,79.21,87.84
Feb-05,28,2,2005,81.48,87.7
