,date,day,month,year,index.svix2
1,02-01-2004,2,1,2004,0.020025788
2,05-01-2004,5,1,2004,0.019702755
3,06-01-2004,6,1,2004,0.018264903
4,07-01-2004,7,1,2004,0.016538383
5,08-01-2004,8,1,2004,0.01461453
6,09-01-2004,9,1,2004,0.016627461
7,12-01-2004,12,1,2004,0.016791443
8,13-01-2004,13,1,2004,0.01772444
9,14-01-2004,14,1,2004,0.017705736
10,15-01-2004,15,1,2004,0.017105783
11,16-01-2004,16,1,2004,0.017049143
12,20-01-2004,20,1,2004,0.016773324
13,21-01-2004,21,1,2004,0.016135718
14,22-01-2004,22,1,2004,0.016731617
15,23-01-2004,23,1,2004,0.017011007
16,26-01-2004,26,1,2004,0.016610934
17,27-01-2004,27,1,2004,0.017452102
18,28-01-2004,28,1,2004,0.018614209
19,29-01-2004,29,1,2004,0.020219775
20,30-01-2004,30,1,2004,0.020027472
21,02-02-2004,2,2,2004,0.020018903
22,03-02-2004,3,2,2004,0.0209746
23,04-02-2004,4,2,2004,0.021319078
24,05-02-2004,5,2,2004,0.021901986
25,06-02-2004,6,2,2004,0.020763116
26,09-02-2004,9,2,2004,0.020572739
27,10-02-2004,10,2,2004,0.020261283
28,11-02-2004,11,2,2004,0.01951377
29,12-02-2004,12,2,2004,0.019772995
30,13-02-2004,13,2,2004,0.020106954
31,17-02-2004,17,2,2004,0.019571452
32,18-02-2004,18,2,2004,0.019891971
33,19-02-2004,19,2,2004,0.020335533
34,20-02-2004,20,2,2004,0.020565137
35,23-02-2004,23,2,2004,0.020847783
36,24-02-2004,24,2,2004,0.021221418
37,25-02-2004,25,2,2004,0.020380514
38,26-02-2004,26,2,2004,0.020759225
39,27-02-2004,27,2,2004,0.020126902
40,01-03-2004,1,3,2004,0.019793427
41,02-03-2004,2,3,2004,0.019730155
42,03-03-2004,3,3,2004,0.019819393
43,04-03-2004,4,3,2004,0.019295408
44,05-03-2004,5,3,2004,0.019674858
45,08-03-2004,8,3,2004,0.020650672
46,09-03-2004,9,3,2004,0.02136696
47,10-03-2004,10,3,2004,0.022531583
48,11-03-2004,11,3,2004,0.024061715
49,12-03-2004,12,3,2004,0.022247736
50,15-03-2004,15,3,2004,0.024605158
51,16-03-2004,16,3,2004,0.024755457
52,17-03-2004,17,3,2004,0.023178891
53,18-03-2004,18,3,2004,0.023698913
54,19-03-2004,19,3,2004,0.024771642
55,22-03-2004,22,3,2004,0.02740933
56,23-03-2004,23,3,2004,0.027235521
57,24-03-2004,24,3,2004,0.027447305
58,25-03-2004,25,3,2004,0.025683244
59,26-03-2004,26,3,2004,0.024649907
60,29-03-2004,29,3,2004,0.023521613
61,30-03-2004,30,3,2004,0.023162006
62,31-03-2004,31,3,2004,0.023345597
63,01-04-2004,1,4,2004,0.022993881
64,02-04-2004,2,4,2004,0.022030722
65,05-04-2004,5,4,2004,0.021254037
66,06-04-2004,6,4,2004,0.021814376
67,07-04-2004,7,4,2004,0.022585979
68,08-04-2004,8,4,2004,0.023009211
69,12-04-2004,12,4,2004,0.02278487
70,13-04-2004,13,4,2004,0.024323476
71,14-04-2004,14,4,2004,0.023353578
72,15-04-2004,15,4,2004,0.023088909
73,16-04-2004,16,4,2004,0.022781701
74,19-04-2004,19,4,2004,0.022859841
75,20-04-2004,20,4,2004,0.024147913
76,21-04-2004,21,4,2004,0.023475115
77,22-04-2004,22,4,2004,0.022461752
78,23-04-2004,23,4,2004,0.021995776
79,26-04-2004,26,4,2004,0.022417794
80,27-04-2004,27,4,2004,0.022143264
81,28-04-2004,28,4,2004,0.023634213
82,29-04-2004,29,4,2004,0.024581331
83,30-04-2004,30,4,2004,0.024838759
84,03-05-2004,3,5,2004,0.023780822
85,04-05-2004,4,5,2004,0.023706242
86,05-05-2004,5,5,2004,0.022894885
87,06-05-2004,6,5,2004,0.023672229
88,07-05-2004,7,5,2004,0.02482735
89,10-05-2004,10,5,2004,0.025670125
90,11-05-2004,11,5,2004,0.024327454
91,12-05-2004,12,5,2004,0.0243505
92,13-05-2004,13,5,2004,0.024662481
93,14-05-2004,14,5,2004,0.024469893
94,17-05-2004,17,5,2004,0.025632836
95,18-05-2004,18,5,2004,0.024893227
96,19-05-2004,19,5,2004,0.025097156
97,20-05-2004,20,5,2004,0.024914051
98,21-05-2004,21,5,2004,0.02468157
99,24-05-2004,24,5,2004,0.023986636
100,25-05-2004,25,5,2004,0.022361555
101,26-05-2004,26,5,2004,0.022165335
102,27-05-2004,27,5,2004,0.021688131
103,28-05-2004,28,5,2004,0.021810879
104,01-06-2004,1,6,2004,0.022081299
105,02-06-2004,2,6,2004,0.021902779
106,03-06-2004,3,6,2004,0.023138514
107,04-06-2004,4,6,2004,0.023329071
108,07-06-2004,7,6,2004,0.022065976
109,08-06-2004,8,6,2004,0.02102848
110,09-06-2004,9,6,2004,0.021501262
111,10-06-2004,10,6,2004,0.020896248
112,14-06-2004,14,6,2004,0.021621336
113,15-06-2004,15,6,2004,0.020976122
114,16-06-2004,16,6,2004,0.020131705
115,17-06-2004,17,6,2004,0.020421444
116,18-06-2004,18,6,2004,0.019771394
117,21-06-2004,21,6,2004,0.019932067
118,22-06-2004,22,6,2004,0.019924897
119,23-06-2004,23,6,2004,0.018914385
120,24-06-2004,24,6,2004,0.019489618
121,25-06-2004,25,6,2004,0.020048769
122,28-06-2004,28,6,2004,0.020756499
123,29-06-2004,29,6,2004,0.019930726
124,30-06-2004,30,6,2004,0.01944555
125,01-07-2004,1,7,2004,0.02009008
126,02-07-2004,2,7,2004,0.020625082
127,06-07-2004,6,7,2004,0.02141138
128,07-07-2004,7,7,2004,0.021845135
129,08-07-2004,8,7,2004,0.022476895
130,09-07-2004,9,7,2004,0.022590709
131,12-07-2004,12,7,2004,0.022711793
132,13-07-2004,13,7,2004,0.02222137
133,14-07-2004,14,7,2004,0.022337646
134,15-07-2004,15,7,2004,0.022801203
135,16-07-2004,16,7,2004,0.022494428
136,19-07-2004,19,7,2004,0.023081469
137,20-07-2004,20,7,2004,0.02219341
138,21-07-2004,21,7,2004,0.02410356
139,22-07-2004,22,7,2004,0.023517904
140,23-07-2004,23,7,2004,0.024350515
141,26-07-2004,26,7,2004,0.024843689
142,27-07-2004,27,7,2004,0.023788888
143,28-07-2004,28,7,2004,0.02357762
144,29-07-2004,29,7,2004,0.022918283
145,30-07-2004,30,7,2004,0.022689437
146,02-08-2004,2,8,2004,0.022405011
147,03-08-2004,3,8,2004,0.022872871
148,04-08-2004,4,8,2004,0.023061405
149,05-08-2004,5,8,2004,0.024857433
150,06-08-2004,6,8,2004,0.025564942
151,09-08-2004,9,8,2004,0.025160436
152,10-08-2004,10,8,2004,0.023799084
153,11-08-2004,11,8,2004,0.024260144
154,12-08-2004,12,8,2004,0.025444092
155,13-08-2004,13,8,2004,0.02556864
156,16-08-2004,16,8,2004,0.024820833
157,17-08-2004,17,8,2004,0.024487862
158,18-08-2004,18,8,2004,0.023634952
159,19-08-2004,19,8,2004,0.024261754
160,20-08-2004,20,8,2004,0.023614557
161,23-08-2004,23,8,2004,0.023100476
162,24-08-2004,24,8,2004,0.022730198
163,25-08-2004,25,8,2004,0.022229893
164,26-08-2004,26,8,2004,0.022118094
165,27-08-2004,27,8,2004,0.021848319
166,30-08-2004,30,8,2004,0.022178986
167,31-08-2004,31,8,2004,0.022009478
168,01-09-2004,1,9,2004,0.021380617
169,02-09-2004,2,9,2004,0.020814305
170,03-09-2004,3,9,2004,0.020487477
171,07-09-2004,7,9,2004,0.020273839
172,08-09-2004,8,9,2004,0.020336512
173,09-09-2004,9,9,2004,0.019987186
174,10-09-2004,10,9,2004,0.019767043
175,13-09-2004,13,9,2004,0.019067774
176,14-09-2004,14,9,2004,0.018757239
177,15-09-2004,15,9,2004,0.019103359
178,16-09-2004,16,9,2004,0.019182509
179,17-09-2004,17,9,2004,0.018755801
180,20-09-2004,20,9,2004,0.019514517
181,21-09-2004,21,9,2004,0.018407277
182,22-09-2004,22,9,2004,0.019475906
183,23-09-2004,23,9,2004,0.01943819
184,24-09-2004,24,9,2004,0.019245035
185,27-09-2004,27,9,2004,0.019592105
186,28-09-2004,28,9,2004,0.018739217
187,29-09-2004,29,9,2004,0.018368819
188,30-09-2004,30,9,2004,0.018113193
189,01-10-2004,1,10,2004,0.017122279
190,04-10-2004,4,10,2004,0.017313438
191,05-10-2004,5,10,2004,0.017567379
192,06-10-2004,6,10,2004,0.016860197
193,07-10-2004,7,10,2004,0.017322358
194,08-10-2004,8,10,2004,0.018144945
195,12-10-2004,12,10,2004,0.017629587
196,13-10-2004,13,10,2004,0.018174584
197,14-10-2004,14,10,2004,0.01865374
198,15-10-2004,15,10,2004,0.018261026
199,18-10-2004,18,10,2004,0.017818973
200,19-10-2004,19,10,2004,0.01829394
201,20-10-2004,20,10,2004,0.018237528
202,21-10-2004,21,10,2004,0.017968912
203,22-10-2004,22,10,2004,0.018581752
204,25-10-2004,25,10,2004,0.018955873
205,26-10-2004,26,10,2004,0.018432886
206,27-10-2004,27,10,2004,0.017921571
207,28-10-2004,28,10,2004,0.018332709
208,29-10-2004,29,10,2004,0.017974764
209,01-11-2004,1,11,2004,0.018047658
210,02-11-2004,2,11,2004,0.018048537
211,03-11-2004,3,11,2004,0.016722531
212,04-11-2004,4,11,2004,0.016045215
213,05-11-2004,5,11,2004,0.015955011
214,08-11-2004,8,11,2004,0.015959397
215,09-11-2004,9,11,2004,0.015823032
216,10-11-2004,10,11,2004,0.015602084
217,12-11-2004,12,11,2004,0.015119435
218,15-11-2004,15,11,2004,0.015237686
219,16-11-2004,16,11,2004,0.015724317
220,17-11-2004,17,11,2004,0.015668337
221,18-11-2004,18,11,2004,0.015370692
222,19-11-2004,19,11,2004,0.016082056
223,22-11-2004,22,11,2004,0.015550962
224,23-11-2004,23,11,2004,0.015608224
225,24-11-2004,24,11,2004,0.015712588
226,26-11-2004,26,11,2004,0.015645343
